") for {0}","{0} üçün )"
"Shift Actual End","Növbə Faktiki Bitişi"
"Default Salary Structure","Varsayılan Maaş Strukturu"
"Employee Health Insurance","İşçi Sağlamlıq Sığortası"
"Health Insurance Name","Sağlamlıq Sığortası Adı"
"Employee Incentive","İşçi Həvəsləndirməsi"
"Incentive Amount","Həvəsləndirmə Məbləği"
"Employee Onboarding","İşçi Qəbulu"
"Notify users by email","İstifadəçiləri e-poçtla xəbərdar et"
"Employee Onboarding Template","İşçi Qəbulu Şablonu"
"Employee Other Income","İşçi Digər Gəlir"
"Employee Promotion","İşçi Yüksəlişi"
"Promotion Date","Yüksəliş Tarixi"
"Employee Promotion Details","İşçi Yüksəlişi Təfərrüatları"
"Employee Property History","İşçi Əmlak Tarixçəsi"
"Employee Separation","İşçinin İşdən Çıxarılması"
"Employee Separation Template","İşçinin İşdən Çıxarılması Şablonu"
"Exit Interview Summary","Çıxış Müsahibəsi Xülasəsi"
"Employee Skill","İşçi Bacarığı"
"Proficiency","Səriştə"
"Evaluation Date","Qiymətləndirmə Tarixi"
"Employee Skill Map","İşçi Bacarıq Xəritəsi"
"Employee Skills","İşçi Bacarıqları"
"Trainings","Təlimlər"
"Employee Tax Exemption Category","İşçi Vergi Azadolma Kateqoriyası"
"Max Exemption Amount","Maksimum Azadolma Məbləği"
"Employee Tax Exemption Declaration","İşçi Vergi Azadolma Bəyannaməsi"
"Declarations","Bəyannamələr"
"Total Declared Amount","Cəmi Bəyan Edilmiş Məbləğ"
"Total Exemption Amount","Cəmi Azadolma Məbləği"
"Employee Tax Exemption Declaration Category","İşçi Vergi Azadolma Bəyannaməsi Kateqoriyası"
"Exemption Sub Category","Azadolma Alt Kateqoriyası"
"Exemption Category","Azadolma Kateqoriyası"
"Maximum Exempted Amount","Maksimum Azad Edilən Məbləğ"
"Declared Amount","Bəyan Edilmiş Məbləğ"
"Employee Tax Exemption Proof Submission","İşçi Vergi Azadolma Sübutu Təqdimatı"
"Submission Date","Təqdimat Tarixi"
"Tax Exemption Proofs","Vergi Azadolma Sübutları"
"Total Actual Amount","Cəmi Faktiki Məbləğ"
"Employee Tax Exemption Proof Submission Detail","İşçi Vergi Azadolma Sübutu Təqdimatı Təfərrüatı"
"Maximum Exemption Amount","Maksimum Azadolma Məbləği"
"Type of Proof","Sübut Növü"
"Actual Amount","Faktiki Məbləğ"
"Employee Tax Exemption Sub Category","İşçi Vergi Azadolma Alt Kateqoriyası"
"Tax Exemption Category","Vergi Azadolma Kateqoriyası"
"Employee Training","İşçi Təlimi"
"Training Date","Təlim Tarixi"
"Employee Transfer","İşçi Transferi"
"Transfer Date","Transfer Tarixi"
"Employee Transfer Details","İşçi Transferi Təfərrüatları"
"Employee Transfer Detail","İşçi Transferi Təfərrüatı"
"Re-allocate Leaves","Məzuniyyətləri Yenidən Təyin Et"
"Create New Employee Id","Yeni İşçi İD Yarat"
"New Employee ID","Yeni İşçi İD"
"HR-EXP-.YYYY.-","HR-EXP-.YYYY.-"
"Expense Taxes and Charges","Xərc Vergiləri və Rüsumları"
"Total Sanctioned Amount","Cəmi Təsdiq Edilmiş Məbləğ"
"Total Advance Amount","Cəmi Avans Məbləği"
"Total Claimed Amount","Cəmi Tələb Edilən Məbləğ"
"Total Amount Reimbursed","Cəmi Ödənilmiş Məbləğ"
"Vehicle Log","Nəqliyyat Jurnalı"
"Employees Email Id","İşçilərin E-poçt İD"
"More Details","Daha Çox Təfərrüat"
"Expense Claim Account","Xərc Tələbi Hesabı"
"Expense Claim Advance","Xərc Tələbi Avansı"
"Expense Claim Detail","Xərc Tələbi Təfərrüatı"
"Expense Date","Xərc Tarixi"
"Expense Claim Type","Xərc Tələbi Növü"
"HR Settings","HR Parametrləri"
"Employee Settings","İşçi Parametrləri"
"Expense Approver Mandatory In Expense Claim","Xərc Tələbində Xərc Təsdiqləyicisi Məcburidir"
"Payroll Settings","Maaş Parametrləri"
"Leave","Məzuniyyət"
"Max working hours against Timesheet","Davamiyyət Cədvəlinə qarşı maksimum iş saatları"
"Include holidays in Total no. of Working Days","Cəmi İş Günləri sayına tətilləri daxil et"
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Əgər işarələnərsə, Cəmi İş Günləri sayına tətillər daxil ediləcək və bu, Günlük Maaş dəyərini azaldacaq"
"If checked, hides and disables Rounded Total field in Salary Slips","Əgər işarələnərsə, Maaş Qəbzlərində Yuvarlaq Cəm sahəsini gizlədir və deaktiv edir"
"The fraction of daily wages to be paid for half-day attendance","Yarım günlük davamiyyət üçün ödəniləcək günlük əmək haqqı hissəsi"
"Email Salary Slip to Employee","Maaş Qəbzini İşçiyə E-poçtla Göndər"
"Emails salary slip to employee based on preferred email selected in Employee","Maaş qəbzini İşçidə seçilmiş üstünlük verilən e-poçta əsasən işçiyə e-poçtla göndərir"
"Encrypt Salary Slips in Emails","E-poçtlarda Maaş Qəbzlərini Şifrələ"
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","İşçiyə e-poçtla göndərilən maaş qəbzi şifrə ilə qorunacaq, şifrə şifrə siyasətinə əsasən yaradılacaq."
"Password Policy","Şifrə Siyasəti"
"<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972","<b>Nümunə:</b> SAL-{first_name}-{date_of_birth.year} <br>Bu, SAL-Jane-1972 kimi bir şifrə yaradacaq"
"Leave Approval Notification Template","Məzuniyyət Təsdiq Bildiriş Şablonu"
"Leave Status Notification Template","Məzuniyyət Statusu Bildiriş Şablonu"
"Role Allowed to Create Backdated Leave Application","Geri Tarixli Məzuniyyət Müraciəti Yaratmağa İcazə Verilən Rol"
"Leave Approver Mandatory In Leave Application","Məzuniyyət Müraciətində Məzuniyyət Təsdiqləyicisi Məcburidir"
"Show Leaves Of All Department Members In Calendar","Təqvimdə Bütün Şöbə Üzvlərinin Məzuniyyətlərini Göstər"
"Auto Leave Encashment","Avtomatik Məzuniyyət Kompensasiyası"
"Hiring Settings","İşə Qəbul Parametrləri"
"Check Vacancies On Job Offer Creation","İş Təklifi Yaradılarkən Vakansiyaları Yoxla"
"Identification Document Type","Şəxsiyyət Sənədi Növü"
"Effective from","Qüvvəyə Minmə Tarixi"
"Allow Tax Exemption","Vergi Azadolmasına İcazə Ver"
"If enabled, Tax Exemption Declaration will be considered for income tax calculation.","Əgər aktivləşdirilərsə, Vergi Azadolma Bəyannaməsi gəlir vergisi hesablaması üçün nəzərə alınacaq."
"Standard Tax Exemption Amount","Standart Vergi Azadolma Məbləği"
"Taxable Salary Slabs","Vergi Tutulan Maaş Cədvəlləri"
"Taxes and Charges on Income Tax","Gəlir Vergisi üzrə Vergilər və Rüsumlar"
"Other Taxes and Charges","Digər Vergilər və Rüsumlar"
"Income Tax Slab Other Charges","Gəlir Vergisi Cədvəli Digər Rüsumlar"
"Min Taxable Income","Min. Vergi Tutulan Gəlir"
"Max Taxable Income","Maks. Vergi Tutulan Gəlir"
"Applicant for a Job","İşə Müraciət Edən"
"Job Opening","Vakansiya"
"Cover Letter","Müşayiət Məktubu"
"Resume Attachment","CV Əlavəsi"
"Job Applicant Source","İşə Müraciət Edən Mənbəyi"
"Applicant Email Address","Müraciət Edənin E-poçt Ünvanı"
"Awaiting Response","Cavab Gözlənilir"
"Job Offer Terms","İş Təklifi Şərtləri"
"Select Terms and Conditions","Şərtləri və Qaydaları Seçin"
"Job Offer Term","İş Təklifi Şərti"
"Offer Term","Təklif Şərti"
"Value / Description","Dəyər / Təsvir"
"Description of a Job Opening","Vakansiya Təsviri"
"Staffing Plan","Ştat Planı"
"Planned number of Positions","Planlaşdırılan Vəzifə Sayı"
"Job profile, qualifications required etc.","İş profili, tələb olunan ixtisaslar və s."
"HR-LAL-.YYYY.-","HR-LAL-.YYYY.-"
"New Leaves Allocated","Yeni Təyin Edilmiş Məzuniyyətlər"
"Add unused leaves from previous allocations","Əvvəlki təyinatdan istifadə olunmamış məzuniyyətləri əlavə et"
"Unused leaves","İstifadə olunmamış məzuniyyətlər"
"Total Leaves Allocated","Cəmi Təyin Edilmiş Məzuniyyətlər"
"Total Leaves Encashed","Cəmi Kompensasiya Edilmiş Məzuniyyətlər"
"Leave Period","Məzuniyyət Dövrü"
"Carry Forwarded Leaves","Növbəti Dövrə Keçirilmiş Məzuniyyətlər"
"Apply / Approve Leaves","Məzuniyyətlərə Müraciət Et / Təsdiqlə"
"HR-LAP-.YYYY.-","HR-LAP-.YYYY.-"
"Leave Balance Before Application","Müraciətdən Əvvəlki Məzuniyyət Balansı"
"Total Leave Days","Cəmi Məzuniyyət Günləri"
"Leave Approver Name","Məzuniyyət Təsdiqləyicisinin Adı"
"Follow via Email","E-poçt vasitəsilə izlə"
"Block Holidays on important days.","Vacib günlərdə tətilləri blokla."
"Leave Block List Name","Məzuniyyət Blok Siyahısı Adı"
"Applies to Company","Şirkətə Tətbiq Olunur"
"If not checked, the list will have to be added to each Department where it has to be applied.","Əgər işarələnməyibsə, siyahı tətbiq olunmalı olduğu hər bir Şöbəyə əlavə edilməli olacaq."
"Block Days","Blok Günləri"
"Stop users from making Leave Applications on following days.","İstifadəçilərin növbəti günlərdə Məzuniyyət Müraciətləri etməsini dayandır."
"Leave Block List Dates","Məzuniyyət Blok Siyahısı Tarixləri"
"Allow Users","İstifadəçilərə İcazə Ver"
"Allow the following users to approve Leave Applications for block days.","Aşağıdakı istifadəçilərə blok günləri üçün Məzuniyyət Müraciətlərini təsdiqləməyə icazə ver."
"Leave Block List Allowed","Məzuniyyət Blok Siyahısına İcazə Verildi"
"Leave Block List Allow","Məzuniyyət Blok Siyahısına İcazə"
"Allow User","İstifadəçiyə İcazə Ver"
"Leave Block List Date","Məzuniyyət Blok Siyahısı Tarixi"
"Block Date","Blok Tarixi"
"Leave Control Panel","Məzuniyyət İdarəetmə Paneli"
"Employment Type (optional)","Məşğulluq Növü (könüllü)"
"Branch (optional)","Filial (könüllü)"
"Department (optional)","Şöbə (könüllü)"
"Designation (optional)","Vəzifə (könüllü)"
"Employee Grade (optional)","İşçi Dərəcəsi (könüllü)"
"Employee (optional)","İşçi (könüllü)"
"Allocate Leaves","Məzuniyyətləri Təyin Et"
"Carry Forward","Növbəti Dövrə Keçirmə"
"Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year","Əgər əvvəlki maliyyə ilinin balans məzuniyyətlərini də bu maliyyə ilinə daxil etmək istəyirsinizsə, zəhmət olmasa Növbəti Dövrə Keçirməni seçin"
"New Leaves Allocated (In Days)","Yeni Təyin Edilmiş Məzuniyyətlər (Günlərlə)"
"Leave Balance","Məzuniyyət Balansı"
"Encashable days","Kompensasiya edilə bilən günlər"
"Encashment Amount","Kompensasiya Məbləği"
"Leave Ledger Entry","Məzuniyyət Reyestri Qeydi"
"Transaction Name","Əməliyyat Adı"
"Is Carry Forward","Növbəti Dövrə Keçirilmədir"
"Is Expired","Müddəti Bitib"
"Is Leave Without Pay","Ödənişsiz Məzuniyyətdir"
"Holiday List for Optional Leave","Könüllü Məzuniyyət üçün Tətil Siyahısı"
"Leave Allocations","Məzuniyyət Təyinatları"
"Leave Policy Details","Məzuniyyət Siyasəti Təfərrüatları"
"Leave Policy Detail","Məzuniyyət Siyasəti Təfərrüatı"
"Annual Allocation","İllik Təyinat"
"Leave Type Name","Məzuniyyət Növü Adı"
"Applicable After (Working Days)","Tətbiq Olunur (İş Günləri) Sonra"
"Is Optional Leave","Könüllü Məzuniyyətdir"
"Allow Negative Balance","Mənfi Balansa İcazə Ver"
"Include holidays within leaves as leaves","Tətilləri məzuniyyətlər daxilində məzuniyyət kimi daxil et"
"Is Compensatory","Kompensasiyadır"
"Maximum Carry Forwarded Leaves","Maksimum Növbəti Dövrə Keçirilmiş Məzuniyyətlər"
"Expire Carry Forwarded Leaves (Days)","Növbəti Dövrə Keçirilmiş Məzuniyyətlərin Müddəti Bitir (Günlər)"
"Calculated in days","Günlərlə hesablanır"
"Encashment","Kompensasiya"
"Allow Encashment","Kompensasiyaya İcazə Ver"
"Encashment Threshold Days","Kompensasiya Həddi Günləri"
"Earned Leave","Qazanılmış Məzuniyyət"
"Is Earned Leave","Qazanılmış Məzuniyyətdir"
"Earned Leave Frequency","Qazanılmış Məzuniyyət Tezliyi"
"Rounding","Yuvarlaqlaşdırma"
"Payroll Employee Detail","Maaş İşçi Təfərrüatı"
"Payroll Frequency","Maaş Tezliyi"
"Fortnightly","İki həftəlik"
"Bimonthly","İki aylıq"
"Employees","İşçilər"
"Number Of Employees","İşçilərin Sayı"
"Employee Details","İşçi Təfərrüatları"
"Validate Attendance","Davamiyyəti Yoxla"
"Salary Slip Based on Timesheet","Davamiyyət Cədvəlinə Əsaslanan Maaş Qəbzi"
"Deduct Tax For Unclaimed Employee Benefits","Tələb Olunmamış İşçi Müavinətləri Üçün Vergi Tut"
"Deduct Tax For Unsubmitted Tax Exemption Proof","Təqdim Edilməmiş Vergi Azadolma Sübutu Üçün Vergi Tut"
"Select Payment Account to make Bank Entry","Bank Qeydi etmək üçün Ödəniş Hesabı seçin"
"Salary Slips Created","Yaradılmış Maaş Qəbzləri"
"Salary Slips Submitted","Təqdim Edilmiş Maaş Qəbzləri"
"Payroll Periods","Maaş Dövrləri"
"Payroll Period Date","Maaş Dövrü Tarixi"
"Purpose of Travel","Səyahətin Məqsədi"
"Retention Bonus","Saxlama Bonusu"
"Bonus Payment Date","Bonus Ödəniş Tarixi"
"Bonus Amount","Bonus Məbləği"
"Depends on Payment Days","Ödəniş Günlərindən Asılıdır"
"Is Tax Applicable","Vergi Tətbiq Olunur"
"Variable Based On Taxable Salary","Vergi Tutulan Maaşa Əsaslanan Dəyişən"
"Exempted from Income Tax","Gəlir Vergisindən Azad Edilib"
"Round to the Nearest Integer","Ən Yaxın Tam Ədədə Yuvarlaqlaşdır"
"Statistical Component","Statistik Komponent"
"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted.","Əgər seçilərsə, bu komponentdə göstərilən və ya hesablanan dəyər qazanclara və ya tutulmalara təsir etməyəcək. Lakin, onun dəyərinə əlavə edilə və ya tutula bilən digər komponentlər tərəfindən istinad edilə bilər."
"Do Not Include in Total","Cəmə Daxil Etmə"
"Flexible Benefits","Çevik Müavinətlər"
"Is Flexible Benefit","Çevik Müavinətdir"
"Max Benefit Amount (Yearly)","Maksimum Müavinət Məbləği (İllik)"
"Only Tax Impact (Cannot Claim But Part of Taxable Income)","Yalnız Vergi Təsiri (Tələb Edilə Bilməz, Lakin Vergi Tutulan Gəlirin Bir Hissəsi)"
"Create Separate Payment Entry Against Benefit Claim","Müavinət Tələbinə Qarşı Ayrıca Ödəniş Qeydi Yarat"
"Amount based on formula","Düstura əsaslanan məbləğ"
"Formula","Düstur"
"Salary Detail","Maaş Təfərrüatı"
"Component","Komponent"
"Do not include in total","Cəmə daxil etmə"
"Default Amount","Varsayılan Məbləğ"
"Additional Amount","Əlavə Məbləğ"
"Tax on flexible benefit","Çevik müavinət üzrə vergi"
"Tax on additional salary","Əlavə maaş üzrə vergi"
"Salary Structure","Maaş Strukturu"
"Working Days","İş Günləri"
"Salary Slip Timesheet","Maaş Qəbzi Davamiyyət Cədvəli"
"Earnings","Qazanclar"
"Deductions","Tutulmalar"
"Total in words","Sözlə cəmi"
"Salary Component for timesheet based payroll.","Davamiyyət cədvəli əsaslı maaş cədvəli üçün Maaş Komponenti."
"Leave Encashment Amount Per Day","Günlük Məzuniyyət Kompensasiyası Məbləği"
"Max Benefits (Amount)","Maksimum Müavinətlər (Məbləğ)"
"Salary breakup based on Earning and Deduction.","Qazanc və Tutulma əsasında maaş bölgüsü."
"Total Earning","Cəmi Qazanc"
"Salary Structure Assignment","Maaş Strukturu Təyinatı"
"Shift Assignment","Növbə Təyinatı"
"Shift Type","Növbə Növü"
"Shift Request","Növbə Sorğusu"
"Enable Auto Attendance","Avtomatik Davamiyyəti Aktivləşdir"
"Mark attendance based on 'Employee Checkin' for Employees assigned to this shift.","Bu növbəyə təyin edilmiş İşçilər üçün 'İşçi Girişi'nə əsasən davamiyyəti qeyd et."
"Auto Attendance Settings","Avtomatik Davamiyyət Parametrləri"
"Determine Check-in and Check-out","Giriş və Çıxışı Müəyyən Et"
"Alternating entries as IN and OUT during the same shift","Eyni növbə ərzində GİRİŞ və ÇIXIŞ kimi növbəli qeydlər"
"Strictly based on Log Type in Employee Checkin","İşçi Girişində Log Növünə ciddi şəkildə əsaslanır"
"Working Hours Calculation Based On","İş Saatları Hesablaması Əsaslanır"
"First Check-in and Last Check-out","İlk Giriş və Son Çıxış"
"Every Valid Check-in and Check-out","Hər Etibarlı Giriş və Çıxış"
"Begin check-in before shift start time (in minutes)","Növbə başlama vaxtından əvvəl girişə başla (dəqiqə ilə)"
"The time before the shift start time during which Employee Check-in is considered for attendance.","İşçi Girişinin davamiyyət üçün nəzərə alındığı növbə başlama vaxtından əvvəlki vaxt."
"Allow check-out after shift end time (in minutes)","Növbə bitmə vaxtından sonra çıxışa icazə ver (dəqiqə ilə)"
"Time after the end of shift during which check-out is considered for attendance.","Çıxışın davamiyyət üçün nəzərə alındığı növbə bitdikdən sonrakı vaxt."
"Working Hours Threshold for Half Day","Yarım Gün üçün İş Saatları Həddi"
"Working hours below which Half Day is marked. (Zero to disable)","Yarım Gün qeyd edilən iş saatlarından aşağı. (Deaktiv etmək üçün sıfır)"
"Working Hours Threshold for Absent","Qayıb üçün İş Saatları Həddi"
"Working hours below which Absent is marked. (Zero to disable)","Qayıb qeyd edilən iş saatlarından aşağı. (Deaktiv etmək üçün sıfır)"
"Process Attendance After","Davamiyyəti Sonra Emal Et"
"Attendance will be marked automatically only after this date.","Davamiyyət yalnız bu tarixdən sonra avtomatik olaraq qeyd ediləcək."
"Last Sync of Checkin","Girişin Son Sinxronizasiyası"
"Last Known Successful Sync of Employee Checkin. Reset this only if you are sure that all Logs are synced from all the locations. Please don't modify this if you are unsure.","İşçi Girişinin Son Məlum Uğurlu Sinxronizasiyası. Bunu yalnız bütün Logların bütün məkanlardan sinxronizasiya edildiyinə əminsinizsə sıfırlayın. Əmin deyilsinizsə, zəhmət olmasa bunu dəyişdirməyin."
"Grace Period Settings For Auto Attendance","Avtomatik Davamiyyət Üçün Güzəşt Müddəti Parametrləri"
"Enable Entry Grace Period","Giriş Güzəşt Müddətini Aktivləşdir"
"Late Entry Grace Period","Gec Giriş Güzəşt Müddəti"
"The time after the shift start time when check-in is considered as late (in minutes).","Girişin gec hesab edildiyi növbə başlama vaxtından sonrakı vaxt (dəqiqə ilə)."
"Enable Exit Grace Period","Çıxış Güzəşt Müddətini Aktivləşdir"
"Early Exit Grace Period","Erkən Çıxış Güzəşt Müddəti"
"The time before the shift end time when check-out is considered as early (in minutes).","Çıxışın erkən hesab edildiyi növbə bitmə vaxtından əvvəlki vaxt (dəqiqə ilə)."
"Skill Name","Bacarıq Adı"
"Staffing Plan Detail","Ştat Planı Təfərrüatı"
"Total Estimated Budget","Cəmi Təxmini Büdcə"
"Vacancies","Vakansiyalar"
"Estimated Cost Per Position","Vəzifə Başına Təxmini Xərc"
"Total Estimated Cost","Cəmi Təxmini Xərc"
"Current Count","Cari Say"
"Current Openings","Cari Vakansiyalar"
"Number Of Positions","Vəzifələrin Sayı"
"Taxable Salary Slab","Vergi Tutulan Maaş Cədvəli"
"From Amount","Məbləğdən"
"To Amount","Məbləğə"
"Percent Deduction","Faiz Tutulması"
"Training Program","Təlim Proqramı"
"Event Status","Tədbir Statusu"
"Has Certificate","Sertifikatı Var"
"Seminar","Seminar"
"Theory","Nəzəriyyə"
"Workshop","Emalatxana"
"Conference","Konfrans"
"Exam","İmtahan"
"Internet","İnternet"
"Self-Study","Fərdi Hazırlıq"
"Advance","Avans"
"Trainer Name","Təlimçi Adı"
"Trainer Email","Təlimçi E-poçtu"
"Attendees","İştirakçılar"
"Employee Emails","İşçi E-poçtları"
"Training Event Employee","Təlim Tədbiri İşçisi"
"Invited","Dəvət Edildi"
"Feedback Submitted","Rəy Təqdim Edildi"
"Training Result Employee","Təlim Nəticəsi İşçisi"
"Travel Itinerary","Səyahət Marşrutu"
"Travel From","Haradan"
"Travel To","Haraya"
"Mode of Travel","Səyahət Növü"
"Flight","Uçuş"
"Train","Qatar"
"Taxi","Taksi"
"Rented Car","Kirayə Maşın"
"Meal Preference","Yemək Seçimi"
"Vegetarian","Vegetarian"
"Non-Vegetarian","Qeyri-Vegetarian"
"Gluten Free","Qlütensiz"
"Non Diary","Süd Məhsulları Olmayan"
"Travel Advance Required","Səyahət Avansı Tələb Olunur"
"Departure Datetime","Gediş Tarixi və Vaxtı"
"Arrival Datetime","Gəliş Tarixi və Vaxtı"
"Lodging Required","Qalacaq Yer Tələb Olunur"
"Preferred Area for Lodging","Qalacaq Yer Üçün Üstünlük Verilən Ərazi"
"Check-in Date","Giriş Tarixi"
"Check-out Date","Çıxış Tarixi"
"Travel Request","Səyahət Sorğusu"
"Travel Type","Səyahət Növü"
"Domestic","Yerli"
"International","Beynəlxalq"
"Travel Funding","Səyahət Maliyyələşdirməsi"
"Require Full Funding","Tam Maliyyələşdirmə Tələb Olunur"
"Fully Sponsored","Tam Sponsorluq Edilən"
"Partially Sponsored, Require Partial Funding","Qismən Sponsorluq Edilən, Qismən Maliyyələşdirmə Tələb Olunur"
"Copy of Invitation/Announcement","Dəvət/Elanın Surəti"
"Details of Sponsor (Name, Location)","Sponsorun Təfərrüatları (Ad, Məkan)"
"Identification Document Number","Şəxsiyyət Sənədinin Nömrəsi"
"Any other details","Hər hansı digər təfərrüatlar"
"Costing Details","Xərc Təfərrüatları"
"Event Details","Tədbir Təfərrüatları"
"Name of Organizer","Təşkilatçının Adı"
"Address of Organizer","Təşkilatçının Ünvanı"
"Travel Request Costing","Səyahət Sorğusu Xərcləri"
"Expense Type","Xərc Növü"
"Sponsored Amount","Sponsorluq Edilən Məbləğ"
"Funded Amount","Maliyyələşdirilən Məbləğ"
"Upload Attendance","Davamiyyəti Yüklə"
"Attendance From Date","Davamiyyət Başlanğıc Tarixi"
"Attendance To Date","Davamiyyət Bitiş Tarixi"
"Get Template","Şablonu Gətir"
"Import Attendance","Davamiyyəti İdxal Et"
"Upload HTML","HTML Yüklə"
"HR-VLOG-.YYYY.-","HR-VLOG-.YYYY.-"
"Odometer Reading","Odometr Göstəricisi"
"Current Odometer value","Cari Odometr dəyəri"
"Refuelling Details","Yanacaq Doldurma Təfərrüatları"
"Invoice Ref","Faktura İstinadı"
"Service Details","Xidmət Təfərrüatları"
"Vehicle Service","Nəqliyyat Xidməti"
"Service Item","Xidmət Məhsulu"
"Brake Oil","Əyləc Yağı"
"Brake Pad","Əyləc Yastığı"
"Clutch Plate","Mufta Diski"
"Engine Oil","Mühərrik Yağı"
"Oil Change","Yağ Dəyişimi"
"Inspection","Yoxlama"
"Mileage","Yürüş"
"Salary Slip Loan","Maaş Qəbzi Krediti"
"Loan Repayment Entry","Kredit Ödənişi Qeydi"
"May","May"
"June","İyun"
"July","İyul"
"Bank Remittance","Bank Köçürməsi"
"Daily Work Summary Replies","Gündəlik İş Xülasəsi Cavabları"
"Employee Advance Summary","İşçi Avans Xülasəsi"
"Employees working on a holiday","Bayramda işləyən işçilər"
"Monthly Attendance Sheet","Aylıq Davamiyyət Cədvəli"
"Salary Register","Maaş Reyestri"
"Unpaid Expense Claim","Ödənilməmiş Xərc Tələbi"
"Payment Account is mandatory","Ödəniş Hesabı məcburidir"
"If checked, the full amount will be deducted from taxable income before calculating income tax without any declaration or proof submission.","Əgər işarələnərsə, tam məbləğ gəlir vergisi hesablanmazdan əvvəl heç bir bəyannamə və ya sübut təqdim edilmədən vergi tutulan gəlirdən çıxılacaq."
"In Time","Giriş Vaxtı"
"Out Time","Çıxış Vaxtı"
"Is Recurring","Təkrarlanandır"
"HRA Exemption","HRA Azadolması"
"Monthly House Rent","Aylıq Ev Kirayəsi"
"Rented in Metro City","Metro Şəhərində Kirayələnib"
"HRA as per Salary Structure","Maaş Strukturuna əsasən HRA"
"Annual HRA Exemption","İllik HRA Azadolması"
"Monthly HRA Exemption","Aylıq HRA Azadolması"
"House Rent Payment Amount","Ev Kirayəsi Ödəniş Məbləği"
"Rented From Date","Kirayə Başlanğıc Tarixi"
"Rented To Date","Kirayə Bitiş Tarixi"
"Monthly Eligible Amount","Aylıq Uyğun Məbləğ"
"Total Eligible HRA Exemption","Cəmi Uyğun HRA Azadolması"
"Validating Employee Attendance...","İşçi Davamiyyəti Yoxlanılır..."
"Submitting Salary Slips and creating Journal Entry...","Maaş Qəbzləri təqdim edilir və Jurnal Qeydi yaradılır..."
"Calculate Payroll Working Days Based On","Maaş İş Günlərini Buna Əsasən Hesabla"
"Consider Unmarked Attendance As","Qeyd Edilməmiş Davamiyyəti Belə Nəzərə Al"
"Fraction of Daily Salary for Half Day","Yarım Gün Üçün Günlük Maaşın Hissəsi"
"Component Type","Komponent Növü"
"Provident Fund","Ehtiyat Fondu"
"Additional Provident Fund","Əlavə Ehtiyat Fondu"
"Provident Fund Loan","Ehtiyat Fondu Krediti"
"Professional Tax","Peşə Vergisi"
"Is Income Tax Component","Gəlir Vergisi Komponentidir"
"Component properties and references","Komponent xüsusiyyətləri və istinadlar"
"Additional Salary","Əlavə Maaş"
"Unmarked days","Qeyd edilməmiş günlər"
"Absent Days","Qayıb Günləri"
"Conditions and Formula variable and example","Şərtlər və Düstur dəyişəni və nümunə"
"Income Tax Deductions","Gəlir Vergisi Tutulmaları"
"Income Tax Component","Gəlir Vergisi Komponenti"
"Income Tax Amount","Gəlir Vergisi Məbləği"
"Unmarked Days","Qeyd Edilməmiş Günlər"
"Jan","Yan"
"Feb","Fev"
"Mar","Mar"
"Apr","Apr"
"Aug","Avq"
"Sep","Sen"
"Oct","Okt"
"Nov","Noy"
"Dec","Dek"
"Summarized View","Xülasə Görünüşü"
"Professional Tax Deductions","Peşə Vergisi Tutulmaları"
"Provident Fund Deductions","Ehtiyat Fondu Tutulmaları"
"Recruitment Analytics","İşə Qəbul Analitikası"
"Applicant name","Müraciət Edənin Adı"
"Job Offer status","İş Təklifi Statusu"
"On Date","Tarixində"
"Salary Payments Based On Payment Mode","Ödəniş Rejiminə Əsaslanan Maaş Ödənişləri"
"Salary Payments via ECS","ECS vasitəsilə Maaş Ödənişləri"
"Account No","Hesab Nömrəsi"
"IFSC","IFSC"
"MICR","MICR"
"PF Account","PF Hesabı"
"PF Amount","PF Məbləği"
"Additional PF","Əlavə PF"
"PF Loan","PF Krediti"
"Duplicate Entry","Təkrar Qeyd"
"Please select Employee first.","Zəhmət olmasa əvvəlcə İşçini seçin."
"To Date should be greater than From Date","Bitiş Tarixi Başlanğıc Tarixindən böyük olmalıdır"
"Job Offer: {0} is already for Job Applicant: {1}","İş Təklifi: {0} artıq İşə Müraciət Edən: {1} üçündür"
"Only Shift Request with status 'Approved' and 'Rejected' can be submitted","Yalnız 'Təsdiqləndi' və 'İmtina edildi' statuslu Növbə Sorğusu təqdim edilə bilər"
"Shift Assignment: {0} created for Employee: {1}","Növbə Təyinatı: {1} İşçisi üçün {0} yaradıldı"
"You can not request for your Default Shift: {0}","Varsayılan Növbəniz üçün sorğu verə bilməzsiniz: {0}"
"Only Approvers can Approve this Request.","Bu Sorğunu yalnız Təsdiqləyicilər təsdiq edə bilər."
"Please set Payroll based on in Payroll settings","Zəhmət olmasa Maaş parametrlərində Maaş əsasını təyin edin"
"Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3}","Əlavə Maaş: {0} artıq {2} və {3} dövrü üçün Maaş Komponenti: {1} üzrə mövcuddur"
"Payroll date can not be less than employee's joining date.","Maaş tarixi işçinin işə qəbul tarixindən az ola bilməz."
